"category","autistic_persons_(%)","non-autistic_persons_(%)"
"Special equipment (including computer)","11","5"
"Special tuition","35","21"
"Special assessment procedure","28","17"
"Counsellor or disability support person","34","15"
"Special access arrangements","8","6"
"Special transport arrangements","6","3"
"Other support","15","12"
"Total receiving support(b)","77","53"
"No support received","21","47"
"Total aged 5 to 20 years who are currently attending school or other education institution","100","100"
